WGD label	90% HCR	Peak	Mean	Phylogenetic position	Full_Species
24	60.25 - 79.67	68.36	68.54	Poales	"Leersia_perrieri, Secale_cereale, Pharus_latifolius, Oryza_glaberrima, Streptochaeta_spicata, Carex_gibba, Bonia_saxatilis, Sorghum_bicolor, Thinopyrum_intermedium, Raddia_brasiliensis, Brachypodium_distachyon, Brachypodium_hybridum, Avena_sativa, Juncus_effusus, Dichanthelium_boreale, Ananas_comosus, Guadua_angustifolia, Bothriochloa_decipiens, Zoysia_japonica, Juncus_compressus, Miscanthus_floridulus, Oryza_punctata, Saccharum_officinarum, Setaria_viridis, Triticum_aestivum, Zizania_palustris, Oryza_rufipogon, Zizania_latifolia, Carex_agglomerata, Oryza_sativa, Hordeum_vulgare, Eragrostis_setifolia, Panicum_virgatum, Aegilops_tauschii, Phragmites_australis, Oropetium_thomaeum, Zea_mays, Zoysia_matrella, Pennisetum_glaucum, Eragrostis_tef, Achnatherum_splendens, Setaria_italica, Triticum_turgidum, Avena_abyssinica"
25	36.04 - 64.83	49.66	50.81	Musaceae	"Ensete_glaucum, Ensete_ventricosum, Musa_balbisiana, Musa_acuminata"
26	59.06 - 82.31	70.34	69.75	Zingiberales	"Ensete_glaucum, Ensete_ventricosum, Zingiber_officinale, Musa_acuminata, Wurfbainia_villosa, Musa_balbisiana"
27	79.72 - 98.41	89.9	89.32	Arecaceae	"Areca_catechu, Cocos_nucifera, Phoenix_dactylifera, Calamus_exilis, Elaeis_guineensis"
28	32.45 - 70.13	51.64	51.3	Asparagaceae	"Asparagus_setaceus, Asparagus_officinalis"
29	76.94 - 100.45	88.03	88.27	Partial Asparagales	"Asparagus_setaceus, Asparagus_officinalis"
30	75.4 - 105.81	90.42	89.64	Araceae	"Pistia_stratiotes, Spirodela_polyrhiza, Zantedeschia_hybrid_cultivar, Wolffia_australiana, Amorphophallus_konjac, Lemna_turionifera, Lemna_minor"
31	76.92 - 105.46	92.28	90.79	Araceae	"Pistia_stratiotes, Spirodela_polyrhiza, Zantedeschia_hybrid_cultivar, Wolffia_australiana, Amorphophallus_konjac, Lemna_turionifera, Lemna_minor"
32	83.58 - 97.09	91.33	89.96	Partial Alismatales	"Cymodocea_rotundata, Zostera_marina, Potamogeton_perfoliatus, Zostera_muelleri"
33	68.84 - 105.70	91.63	87.46	Lauraceae	"Persea_americana, Phoebe_bournei, Cinnamomum_bodinieri"
