Period	Epoch	Stage	UpperAge	LowerAge	AverageAge	GMST_05	GMST_16	GMST_50	GMST_84	GMST_95
Carboniferous	Upper	Gzhelian	298.89	303.68	301.285	14.26931578	15.09438771	16.54570035	18.26673024	19.60912468
Carboniferous	Upper	Kasimovian	303.68	307.02	305.35	11.31640046	12.64753897	14.45955196	16.76454397	18.28724221
Carboniferous	Middle	Moscovian	307.02	315.15	311.085	14.99527677	16.15006543	18.09306828	20.7071013	22.62505294
Carboniferous	Lower	Bashkirian	315.15	323.4	319.275	10.57957179	11.80477216	14.08318094	18.17958438	20.55736073
Carboniferous	Upper	Serpukhovian	323.4	330.34	326.87	9.019364444	10.01233478	12.0196117	14.26675234	15.68398596
Carboniferous	Middle	Visean	330.34	346.73	338.535	7.441108036	9.206989481	12.82556569	15.71796758	17.31353991
Carboniferous	Lower	Tournaisian	346.73	359.3	353.015	18.9332175	20.03876408	21.75116458	23.98694653	24.76122118
Devonian	Upper	Famennian	359.3	371.1	365.2	20.04940627	21.57583742	23.75883251	26.10559225	27.51811555
Devonian	Upper	Frasnian	371.1	378.9	375	23.58386277	25.33590464	27.90707542	30.60177267	31.58255794
Devonian	Middle	Givetian	378.9	385.3	382.1	21.52340923	22.77068989	25.67492787	27.86713645	29.95639443
Devonian	Middle	Eifelian	385.3	394.3	389.8	18.80799502	20.10728462	22.48905647	24.79387445	26.8685392
Devonian	Lower	Emsian	394.3	410.5	402.4	21.75437838	22.76718601	25.29490849	27.90548842	29.12625104
Devonian	Lower	Pragian/Lochkovian	410.5	419	414.75	23.44570336	25.37048826	28.81409555	31.86815073	33.21039021
Silurian	Pridoli	Pridoli	419	422.73	420.865	25.50966571	29.29768773	33.24755876	36.76586514	38.63721123
Silurian	Ludlow	Ludfordian	422.73	425.01	423.87	28.23325741	31.26231944	34.04854385	37.29379495	38.17378484
Silurian	Ludlow	Gorstian	425.01	426.74	425.875	18.76889851	21.3207681	25.59520684	30.28283199	32.9201315
Silurian	Wenlock	Homerian	426.74	430.62	428.68	15.04699735	17.71900741	20.96762888	24.63953079	26.72433042
Silurian	Wenlock	Sheinwoodian	430.62	432.93	431.775	13.6110325	16.42771872	19.89635123	23.75881475	25.90492954
Silurian	Llandovery	Telychian	432.93	438.59	435.76	17.65837439	20.69552741	24.3616345	28.62810141	30.79177045
Silurian	Llandovery	Aeronian/Rhuddanian	438.59	443.07	440.83	12.95156828	15.61760273	19.47801565	22.65642807	24.42051295
Ordovician	Upper	Hirnantian	443.07	445.21	444.14	14.76113152	17.28459763	20.80242036	25.28587182	27.17115922
Ordovician	Upper	Katian	445.21	452.75	448.98	22.9774742	24.35465577	27.84783828	31.54207702	32.78222393
Ordovician	Upper	Sandbian	452.75	458.18	455.465	22.43450102	23.84473502	27.31325827	31.72928313	32.92836886
Ordovician	Middle	Darriwilian	458.18	469.42	463.8	24.63162974	28.44202019	31.0028615	33.90064807	35.85993815
Ordovician	Middle	Dapingian	469.42	471.26	470.34	23.28402853	26.81113234	30.90445144	34.55697322	35.9301733
Ordovician	Lower	Floian	471.26	477.08	474.17	23.25107995	27.05105712	31.52737483	35.59384091	39.25013815
Ordovician	Lower	Tremadocian	477.08	486.85	481.965	22.56866345	23.96918503	32.10268846	35.69340365	36.86416057
