WGD ID	Phylogenetic location	Species	KS peak	Credible range	Posterior Mean	Posterior Median	Posterior Mode	90% HPD	Consensus Peak	Consensus Mean	90% HCR	Full_Species	Crown_ages	Stem_ages	90%_HCR_Lower	90%_HCR_Higher	Crown_ages_Lower	Crown_ages_Higher	Stem_ages_Lower	Stem_ages_Higher
BUXA	Buxales	Buxus_austroyunnanensis	0.78	0.48-1.38	98.31	99.48	101.21	88.42-107.64	101.21	98.31	88.42-107.64	Buxus_sinica, Buxus_austroyunnanensis	44.48479999999999	114.4866	88.42	107.64	12.9995	78.4788	110.013	119.529
TROC a	Trochodendrales	Trochodendron_aralioides	0.26	0.16-0.72	83.34	86.78	92.06	59.86-104.30	92.31	85.06	69.16-102.76	Tetracentron_sinense, Trochodendron_aralioides	102.81139999999999	114.4866	69.16	102.76	78.4773	118.556	110.013	119.529
TROC a	Trochodendrales	Tetracentron_sinense	0.29	0.29-0.42	86.79	88.7	92.65	69.16-102.76	92.31	85.06	69.16-102.76	Tetracentron_sinense, Trochodendron_aralioides	102.81139999999999	114.4866	69.16	102.76	78.4773	118.556	110.013	119.529
TROC b	Trochodendrales	Trochodendron_aralioides	0.47	0.33-0.57	98.01	99.37	101.23	88.55-107.87	100.66	97.46	88.55-106.94	Tetracentron_sinense, Trochodendron_aralioides	102.81139999999999	114.4866	88.55	106.94	78.4773	118.556	110.013	119.529
TROC b	Trochodendrales	Tetracentron_sinense	0.46	0.34-0.58	96.91	98.24	99.99	86.92-106.94	100.66	97.46	88.55-106.94	Tetracentron_sinense, Trochodendron_aralioides	102.81139999999999	114.4866	88.55	106.94	78.4773	118.556	110.013	119.529
ACHN	Achnatherum splendens	Achnatherum_splendens	0.12	0.06-0.34	16.05	15.43	14.1	9.30-22.51	14.1	16.05	9.30-22.51	Achnatherum_splendens	-0.0001000000000139778	39.19859999999999	9.3	22.51	0.0	51.0019	26.7626	51.0019
BONI	Bonia	Bonia_amplexicaulis	0.13	0.07-0.33	17.25	16.6	16.4	10.33-23.73	16.4	17.25	10.33-23.73	Bonia_amplexicaulis	-0.0001000000000139778	33.971	10.33	23.73	0.0	47.6275	19.5755	47.6275
PHRA	Phragmites	Phragmites_australis	0.19	0.09-0.74	28.6	27.56	25.59	17.90-38.82	25.59	28.6	17.90-38.82	Phragmites_australis	-0.0001000000000139778	45.886999999999986	17.9	38.82	0.0	56.530199999999994	35.3001	56.530199999999994
ZIZA	Zizania	Zizania_latifolia	0.15	0.09- 0.27	16.59	16.02	15.18	9.74-22.64	15.18	16.59	9.74-22.64	Zizania_latifolia, Zizania_palustris	17.03570000000001	38.260099999999994	9.74	22.64	3.8925	31.729499999999998	24.2134	51.631099999999996
ZING	Zingiberaceae	Zingiber_officinale	0.34	0.18-0.73	32.49	31.87	30.32	20.85-43.66	31.18	33.08	21.52-43.66	Wurfbainia_villosa, Lanxangia_tsaoko, Zingiber_officinale	18.053700000000017	58.61510000000001	21.52	43.66	5.40328	32.3559	39.191900000000004	79.5379
